year_bought,km_driven,transmission,owner,selling_price
2011,80000,Manual,Second Owner,160000
2018,10000,Manual,First Owner,434999
2014,156000,Manual,First Owner,800000
2010,120000,Manual,Second Owner,819999
2007,100000,Manual,Second Owner,163000
2001,100000,Manual,Second Owner,350000
2006,100000,Manual,Second Owner,75000
2012,60000,Manual,Second Owner,180000
2017,30000,Manual,First Owner,675000
2013,170000,Manual,First Owner,400000
2013,100000,Manual,Second Owner,434999
2006,110000,Manual,Second Owner,100000
2015,170000,Manual,Second Owner,419000
2009,100000,Manual,First Owner,200000
2014,35000,Manual,First Owner,400000
2018,40000,Manual,Second Owner,790000
2015,90000,Manual,Second Owner,500000
2012,120000,Manual,Second Owner,275000
2012,120000,Manual,Second Owner,450000
2020,25000,Manual,First Owner,1400000
2015,15000,Manual,First Owner,800000
2014,41000,Manual,First Owner,315000
2019,16000,Manual,First Owner,700000
2016,51000,Manual,First Owner,585000
2014,30000,Manual,First Owner,350000
2014,80000,Manual,First Owner,495000
2017,50000,Manual,First Owner,500000
2013,44000,Manual,First Owner,345000
2015,10000,Manual,First Owner,500000
2016,33000,Manual,First Owner,360000
2010,25000,Manual,First Owner,210000
2014,66000,Manual,First Owner,220000
2009,48000,Manual,First Owner,250000
2016,146000,Manual,First Owner,990000
2013,100000,Manual,Fourth & Above Owner,220000
2012,50000,Automatic,Second Owner,1800000
2014,50000,Manual,First Owner,530000
2016,50000,Manual,First Owner,575000
2012,99000,Manual,First Owner,400000
2016,50000,Manual,First Owner,680000
2014,80000,Automatic,First Owner,1000000
2016,45000,Manual,Second Owner,260000
2010,50000,Manual,Second Owner,150000
2008,70000,Manual,Third Owner,180000
2014,37516,Manual,First Owner,346000
2015,20000,Manual,First Owner,450000
2019,5000,Manual,First Owner,500000
2019,8000,Manual,First Owner,700000
2019,25880,Manual,First Owner,280000
2019,10000,Automatic,First Owner,475000
2009,50000,Manual,First Owner,300000
2014,40000,Manual,First Owner,200999
2009,100000,Manual,Third Owner,200000
2009,80000,Manual,Second Owner,210000
2012,110000,Manual,First Owner,160000
2009,136000,Manual,Second Owner,175000
2012,80000,Manual,First Owner,320000
2009,50000,Manual,Second Owner,110000
2008,30000,Manual,First Owner,300000
2012,10000,Manual,First Owner,700000
2009,90000,Manual,Fourth & Above Owner,135000
2015,110000,Manual,First Owner,500000
2012,120000,Manual,Second Owner,550000
2014,90000,Manual,Third Owner,1050000
2016,20000,Manual,First Owner,500000
2011,90000,Manual,Second Owner,180000
2010,50000,Manual,Second Owner,170000
2019,9000,Manual,First Owner,484999
2011,70000,Manual,Second Owner,150000
2018,25000,Manual,First Owner,380000
2019,10000,Manual,First Owner,480000
2009,90000,Manual,Fourth & Above Owner,135000
2011,60000,Manual,Second Owner,290000
2013,70000,Manual,First Owner,350000
2014,25000,Manual,First Owner,110000
2003,80000,Manual,Third Owner,70000
2011,70000,Automatic,Third Owner,300000
2017,60000,Manual,First Owner,180000
2020,20000,Manual,First Owner,300000
2017,60000,Manual,First Owner,509000
2016,80000,Manual,First Owner,650000
2015,70000,Manual,Third Owner,450000
1999,2020,Manual,Second Owner,170000
2007,100000,Manual,Second Owner,210000
2013,80000,Manual,Second Owner,360000
2011,120000,Manual,Second Owner,495000
2006,100000,Manual,Third Owner,105000
2010,60000,Manual,Third Owner,270000
2010,110000,Manual,First Owner,130000
2014,90000,Manual,Second Owner,700000
2012,40000,Manual,First Owner,400000
2009,60000,Manual,Second Owner,250000
2013,94000,Manual,Second Owner,325000
2008,100000,Manual,First Owner,69000
2018,25000,Manual,First Owner,1380000
2007,90000,Manual,First Owner,90000
2016,40000,Manual,First Owner,1000000
2010,90000,Manual,Second Owner,145000
2020,1100,Manual,Fourth & Above Owner,250000
2011,70000,Manual,Third Owner,256000
2005,120000,Manual,First Owner,70000
2000,88500,Manual,Fourth & Above Owner,50000
2016,70000,Manual,Second Owner,240000
2010,128000,Manual,First Owner,97000
2012,120000,Manual,First Owner,130000
2009,52536,Manual,First Owner,199000
2006,70000,Automatic,First Owner,125000
2015,60000,Manual,First Owner,420000
2016,110000,Manual,First Owner,525000
2008,85000,Manual,First Owner,125000
2010,135000,Manual,First Owner,325000
2012,86000,Manual,Fourth & Above Owner,330000
2010,50000,Manual,First Owner,110000
2019,1950,Manual,First Owner,450000
2005,118400,Manual,First Owner,85000
2007,70000,Manual,Second Owner,229999
2012,60000,Manual,Second Owner,250000
2015,68000,Manual,First Owner,650000
2017,46507,Manual,First Owner,600000
2017,6480,Manual,First Owner,650000
2017,32077,Manual,First Owner,750000
2018,19107,Manual,First Owner,850000
2017,18469,Manual,First Owner,315000
2015,28217,Manual,First Owner,415000
2016,72787,Manual,First Owner,640000
2017,31063,Manual,First Owner,780000
2017,79641,Automatic,First Owner,2595000
2015,58692,Manual,First Owner,850000
2015,54784,Manual,First Owner,900000
2016,64156,Manual,First Owner,1150000
2007,54000,Manual,First Owner,75000
2012,97000,Manual,First Owner,215000
2009,120000,Automatic,Second Owner,130000
2019,16000,Automatic,First Owner,400000
2019,60000,Automatic,First Owner,550000
2016,52000,Manual,First Owner,245000
2010,110000,Manual,Fourth & Above Owner,320000
2016,60000,Automatic,Second Owner,730000
2005,100000,Manual,Third Owner,120000
2017,35000,Manual,First Owner,950000
2017,48000,Manual,Third Owner,350000
2005,20000,Manual,Second Owner,100000
2017,30000,Manual,First Owner,350000
2005,40000,Manual,Second Owner,80000
2013,60000,Manual,First Owner,370000
2012,70000,Manual,Second Owner,160000
2009,120000,Manual,First Owner,130000
2016,30000,Manual,First Owner,250000
2012,80000,Manual,Second Owner,270000
2019,9500,Automatic,First Owner,2600000
2013,80000,Manual,First Owner,160000
2016,80000,Manual,First Owner,229999
2017,29000,Manual,First Owner,750000
2011,120000,Manual,First Owner,195000
2015,60000,Manual,First Owner,320000
2018,20000,Manual,First Owner,1100000
2016,22000,Manual,First Owner,270000
2012,50000,Manual,First Owner,300000
2012,50000,Manual,First Owner,200000
2007,81366,Manual,First Owner,120000
2006,110000,Manual,First Owner,95000
2013,100000,Manual,First Owner,400000
2006,300000,Manual,First Owner,229999
2016,20000,Manual,First Owner,430000
2012,90000,Manual,First Owner,300000
2013,70000,Manual,First Owner,350000
2013,120000,Manual,First Owner,450000
2016,53000,Manual,Second Owner,200000
2017,30000,Manual,First Owner,250000
2012,90000,Manual,Second Owner,368000
2012,90000,Manual,Second Owner,368000
2014,244000,Manual,First Owner,650000
1997,120000,Manual,Third Owner,150000
2012,60000,Manual,First Owner,180000
2017,15000,Manual,First Owner,525000
2005,150000,Manual,Second Owner,350000
2018,30000,Manual,Second Owner,850000
2011,312000,Manual,Third Owner,350000
2007,54000,Manual,First Owner,75000
2005,67000,Manual,First Owner,160000
2017,40000,Manual,First Owner,500000
2008,100000,Manual,First Owner,130000
2015,100000,Manual,Second Owner,350000
2005,80000,Manual,First Owner,70000
2014,145000,Manual,Second Owner,750000
2013,53000,Manual,First Owner,450000
2015,73000,Manual,Third Owner,430000
2011,90000,Manual,Third Owner,260000
2013,80000,Manual,Third Owner,370000
2011,100000,Manual,First Owner,229999
2011,90000,Manual,Third Owner,140000
2013,200000,Manual,First Owner,700000
2020,7300,Manual,First Owner,545000
2017,30000,Manual,First Owner,200000
2015,120000,Manual,First Owner,500000
2008,90000,Manual,Second Owner,70000
2013,25000,Manual,Third Owner,580000
2012,70000,Manual,Second Owner,160000
2018,6000,Manual,First Owner,450000
2010,36000,Manual,First Owner,160000
2016,49000,Manual,First Owner,760000
2015,22000,Manual,First Owner,300000
1998,35000,Manual,Second Owner,50000
2019,24000,Manual,First Owner,800000
2018,20000,Manual,First Owner,680000
2009,50000,Manual,Second Owner,85000
2016,70000,Manual,First Owner,1300000
2016,60000,Manual,First Owner,500000
2015,35000,Automatic,First Owner,3500000
2008,60000,Manual,First Owner,145000
2013,60000,Manual,First Owner,300000
2017,60000,Manual,Second Owner,600000
2015,70000,Manual,Second Owner,400000
2007,135000,Manual,Second Owner,130000
2001,72539,Manual,Second Owner,45000
2017,25000,Manual,First Owner,641000
2015,50000,Manual,First Owner,650000
2020,101,Manual,Test Drive Car,784000
2020,101,Manual,Test Drive Car,635000
2020,101,Manual,Test Drive Car,1000000
2015,52328,Manual,First Owner,495000
2013,30000,Manual,First Owner,324000
2016,91505,Automatic,First Owner,2100000
2018,35000,Manual,First Owner,200000
2015,60000,Manual,First Owner,320000
2015,20500,Manual,First Owner,300000
2013,200000,Manual,First Owner,180000
2008,154000,Manual,Third Owner,500000
2011,120000,Manual,Second Owner,305000
2009,50000,Manual,Fourth & Above Owner,125000
2015,135000,Manual,First Owner,800000
2009,100000,Manual,First Owner,420000
2017,40000,Manual,First Owner,875000
2014,70000,Manual,First Owner,580000
2011,133000,Manual,Second Owner,350000
2004,110000,Manual,Second Owner,120000
2013,180000,Manual,Third Owner,150000
2013,120000,Manual,First Owner,650000
2010,80000,Manual,Second Owner,225000
2014,15000,Automatic,First Owner,400000
2005,70000,Manual,First Owner,250000
2008,41723,Manual,Second Owner,120000
2010,70000,Manual,First Owner,250000
2012,20000,Manual,Second Owner,175000
2013,1000,Manual,Second Owner,450000
2018,26350,Manual,First Owner,590000
2015,68745,Manual,First Owner,225000
2016,47000,Manual,First Owner,900000
2017,27289,Automatic,First Owner,375000
2016,24662,Manual,First Owner,320000
2013,37000,Manual,First Owner,525000
2014,28245,Manual,First Owner,650000
2017,27005,Manual,First Owner,575000
2014,39227,Manual,First Owner,355000
2016,31367,Manual,First Owner,470000
2008,35008,Manual,First Owner,221000
2009,27005,Manual,First Owner,195000
2004,100005,Manual,Second Owner,90000
2013,45264,Manual,First Owner,580000
2014,39093,Manual,First Owner,325000
2013,45241,Manual,First Owner,495000
2014,12000,Manual,First Owner,290000
2018,2769,Manual,First Owner,375000
2011,43128,Manual,First Owner,211000
2010,110000,Manual,Second Owner,270000
2004,50000,Manual,Second Owner,70000
2010,60000,Manual,Second Owner,225000
2014,70000,Manual,Third Owner,420000
2015,22255,Manual,First Owner,280000
2013,59213,Manual,First Owner,400000
2015,55000,Manual,First Owner,850000
2011,80000,Manual,First Owner,550000
2011,80000,Manual,First Owner,550000
2018,40000,Manual,First Owner,1000000
2014,170000,Manual,First Owner,350000
2011,170000,Manual,Second Owner,350000
2007,70000,Manual,Third Owner,170000
2020,1010,Manual,Test Drive Car,828999
2020,1010,Manual,Test Drive Car,1119000
2020,1111,Manual,Test Drive Car,746000
2020,1010,Manual,Test Drive Car,1030000
2020,1010,Manual,Test Drive Car,1334000
2020,1010,Manual,Test Drive Car,811999
2020,1010,Manual,Test Drive Car,1331000
2020,1010,Manual,Test Drive Car,852000
2006,120000,Manual,Second Owner,45000
2013,70000,Manual,Third Owner,430000
2011,60000,Manual,Second Owner,140000
2015,70000,Manual,First Owner,830000
2009,110000,Manual,Second Owner,409999
2012,80000,Manual,Third Owner,190000
2007,80000,Manual,Second Owner,200000
2006,110000,Manual,Second Owner,120000
2019,50000,Manual,First Owner,850000
2011,115000,Manual,Fourth & Above Owner,95000
2013,80000,Manual,First Owner,213000
2018,25000,Manual,First Owner,660000
2017,48965,Manual,First Owner,415000
2019,5166,Manual,Test Drive Car,1100000
2012,76290,Manual,First Owner,650000
2016,70000,Automatic,Second Owner,969999
2016,35000,Manual,First Owner,1250000
2017,25000,Automatic,First Owner,715000
2017,25000,Automatic,First Owner,715000
2016,47000,Manual,First Owner,565000
2013,45766,Manual,Second Owner,615000
2007,78771,Manual,Second Owner,199000
2010,79357,Manual,First Owner,325000
2012,28000,Manual,First Owner,409999
2012,72000,Automatic,Second Owner,500000
2011,76736,Manual,Second Owner,225000
2007,70000,Manual,Second Owner,135000
2012,80000,Automatic,Second Owner,750000
2009,60000,Manual,Second Owner,155000
2012,77000,Manual,Third Owner,335000
2005,92645,Manual,Fourth & Above Owner,114999
2007,101849,Manual,Second Owner,699000
2004,120000,Manual,Fourth & Above Owner,110000
2012,80000,Manual,First Owner,300000
2014,70000,Manual,Second Owner,700000
2017,120000,Manual,First Owner,700000
2013,42000,Manual,Third Owner,210000
2012,120000,Manual,Third Owner,600000
2012,155836,Manual,Second Owner,180000
2011,59000,Manual,Second Owner,220000
2009,60000,Manual,First Owner,70000
2018,70000,Manual,Second Owner,950000
2014,20000,Manual,First Owner,800000
2012,120000,Manual,Third Owner,700000
2016,40000,Manual,First Owner,265000
2011,90000,Manual,Third Owner,175000
2012,89000,Manual,Second Owner,260000
2013,80000,Manual,Third Owner,950000
2009,200000,Manual,Fourth & Above Owner,250000
2015,50000,Manual,First Owner,630000
2012,35000,Manual,Third Owner,35000
2013,1000,Manual,Second Owner,450000
2018,10000,Automatic,First Owner,3800000
2013,86000,Automatic,First Owner,1580000
2019,30000,Automatic,First Owner,4950000
2016,52600,Manual,First Owner,535000
2012,110000,Manual,Second Owner,225000
2017,19890,Automatic,First Owner,550000
2016,7104,Manual,First Owner,670000
2015,11918,Manual,First Owner,625000
2017,10510,Automatic,First Owner,520000
2016,41000,Manual,First Owner,239000
2017,47162,Automatic,First Owner,2600000
2015,45974,Manual,First Owner,750000
2012,49824,Manual,First Owner,229999
2013,58500,Automatic,First Owner,1300000
2005,56580,Manual,First Owner,80000
2012,52000,Manual,First Owner,385000
2015,55340,Manual,First Owner,760000
2017,46507,Manual,First Owner,600000
2014,200000,Manual,Third Owner,330000
2009,120000,Manual,First Owner,150000
2008,90000,Manual,First Owner,105000
2013,65000,Manual,First Owner,185000
2014,50000,Manual,First Owner,260000
2012,33000,Manual,First Owner,450000
2016,38000,Manual,First Owner,500000
2012,40000,Manual,First Owner,260000
2012,55000,Manual,Second Owner,265000
2017,26000,Manual,Second Owner,800000
2016,80000,Manual,First Owner,869999
2018,40000,Manual,First Owner,690000
2011,120000,Manual,First Owner,825000
2006,63230,Manual,Second Owner,160000
2006,120000,Manual,Second Owner,300000
2005,100000,Manual,Third Owner,100000
2015,77000,Manual,Second Owner,530000
2016,30000,Manual,First Owner,360000
2015,40000,Manual,First Owner,220000
2017,35000,Manual,First Owner,178000
2018,5000,Manual,First Owner,515000
2014,35000,Manual,First Owner,300000
2008,90000,Manual,First Owner,105000
2013,65000,Manual,First Owner,185000
2012,80000,Manual,Second Owner,150000
2014,50000,Manual,First Owner,260000
2012,33000,Manual,First Owner,450000
2016,38000,Manual,First Owner,500000
2012,40000,Manual,First Owner,260000
2012,55000,Manual,Second Owner,265000
2017,15000,Manual,First Owner,750000
2017,26000,Manual,Second Owner,800000
2016,80000,Manual,First Owner,869999
2012,80000,Manual,First Owner,950000
2018,40000,Manual,First Owner,690000
2011,120000,Manual,First Owner,825000
2013,70000,Manual,First Owner,170000
2006,63230,Manual,Second Owner,160000
2006,120000,Manual,Second Owner,300000
2015,45000,Manual,Second Owner,315000
2006,40000,Manual,Second Owner,90000
2005,100000,Manual,Third Owner,100000
2008,110000,Manual,Third Owner,65000
2012,90000,Manual,Second Owner,312000
2018,25000,Manual,First Owner,700000
2005,47000,Manual,First Owner,150000
2013,60000,Manual,First Owner,450000
2010,120000,Manual,Second Owner,229999
2008,120000,Manual,First Owner,111000
2012,140000,Manual,Second Owner,250000
2019,1001,Manual,First Owner,750000
2017,1758,Automatic,First Owner,774000
2018,1452,Automatic,First Owner,711000
2017,35122,Manual,First Owner,600000
2015,92621,Manual,First Owner,455000
2015,92198,Manual,Second Owner,225000
2019,5000,Manual,First Owner,650000
2013,50000,Manual,First Owner,200000
2016,74000,Automatic,First Owner,875000
2017,40000,Automatic,First Owner,750000
2019,22000,Automatic,First Owner,725000
2007,100000,Manual,Second Owner,100000
2019,40000,Manual,First Owner,1100000
2017,30000,Automatic,First Owner,2700000
2016,23000,Manual,First Owner,280000
2009,30000,Manual,First Owner,150000
2010,50000,Manual,First Owner,200000
2010,100000,Manual,Second Owner,148000
2011,70000,Manual,Second Owner,254999
2013,60000,Manual,Second Owner,360000
2006,90000,Manual,Second Owner,95000
2007,230000,Manual,Second Owner,185000
2012,40000,Manual,First Owner,185000
2019,15000,Manual,First Owner,300000
2018,40000,Manual,First Owner,800000
2000,50000,Manual,First Owner,60000
2010,50000,Manual,Second Owner,80000
2018,8000,Manual,First Owner,500000
2013,35000,Manual,First Owner,250000
2010,80000,Manual,First Owner,250000
2005,50000,Manual,Second Owner,125000
2002,80000,Manual,Fourth & Above Owner,100000
2010,90000,Manual,First Owner,480000
2018,30000,Manual,Second Owner,320000
2010,70000,Manual,Second Owner,130000
2006,80000,Manual,Second Owner,57000
2005,60000,Manual,First Owner,75000
2003,35000,Manual,First Owner,60000
2008,70000,Manual,First Owner,125000
2004,100000,Manual,Third Owner,105000
2008,152000,Manual,Second Owner,125000
1998,70000,Manual,Second Owner,69000
2012,90000,Manual,Second Owner,130000
2019,40000,Manual,First Owner,630000
2016,50000,Manual,Second Owner,330000
2014,15000,Manual,Second Owner,340000
2006,120000,Manual,Third Owner,60000
2014,78322,Manual,First Owner,550000
2014,110000,Manual,Second Owner,480000
2013,80000,Manual,Second Owner,315000
2012,120000,Manual,First Owner,165000
2016,125000,Manual,First Owner,170000
2018,8000,Manual,First Owner,550000
2018,13000,Manual,First Owner,465000
2012,80000,Manual,Third Owner,120000
2008,54309,Manual,First Owner,220000
2011,70000,Manual,Second Owner,180000
2006,34600,Manual,Third Owner,150000
2016,25000,Manual,First Owner,520000
2013,80000,Manual,Third Owner,430000
2009,55000,Manual,Second Owner,300000
2020,5000,Manual,First Owner,1000000
2017,30000,Manual,First Owner,725000
2011,31000,Manual,First Owner,500000
2011,50000,Manual,First Owner,250000
2018,38217,Manual,First Owner,700000
2011,50000,Manual,Third Owner,185000
2011,120000,Manual,First Owner,200000
2004,110000,Manual,Third Owner,315000
2019,40000,Manual,First Owner,1100000
2001,50000,Manual,Third Owner,52000
2017,10000,Manual,First Owner,600000
2019,10000,Manual,First Owner,1700000
2015,100000,Manual,First Owner,451000
2016,60000,Manual,First Owner,370000
2017,30000,Automatic,First Owner,2700000
2016,23000,Manual,First Owner,280000
2017,30000,Manual,First Owner,350000
2011,50000,Manual,First Owner,250000
2014,25000,Manual,Second Owner,204999
2019,15000,Manual,First Owner,500000
2009,30000,Manual,First Owner,150000
2010,45000,Manual,Second Owner,175000
2009,44800,Manual,Second Owner,170000
2010,50000,Manual,First Owner,200000
2018,52000,Manual,First Owner,800000
2017,50000,Automatic,First Owner,1200000
2008,35000,Manual,Second Owner,400000
2010,100000,Manual,Second Owner,148000
2014,100000,Manual,First Owner,200000
2016,40000,Manual,Second Owner,284000
2007,60000,Manual,Third Owner,80000
2014,77000,Manual,First Owner,170000
2011,60000,Manual,First Owner,150000
2010,77073,Manual,Second Owner,110000
2016,70000,Manual,First Owner,400000
2013,90000,Manual,Second Owner,275000
2013,186000,Manual,Third Owner,800000
2014,90000,Manual,First Owner,550000
2007,100000,Manual,Second Owner,125000
2010,80000,Manual,Second Owner,135000
2012,150000,Manual,First Owner,349000
2014,80000,Manual,First Owner,458000
2018,35000,Manual,First Owner,300000
2008,70000,Manual,First Owner,95000
2018,50000,Manual,First Owner,850000
2019,25000,Manual,First Owner,750000
2013,120000,Manual,First Owner,190000
2009,70000,Manual,First Owner,150000
2009,106000,Manual,Third Owner,114999
2010,120000,Manual,Third Owner,320000
2019,120000,Manual,First Owner,300000
2016,160000,Manual,First Owner,275000
2010,120000,Manual,Second Owner,140000
2020,10000,Manual,First Owner,830000
2013,50000,Manual,First Owner,380000
2010,90000,Manual,Second Owner,150000
2008,70000,Manual,First Owner,50000
2008,100000,Manual,First Owner,155000
2008,100000,Manual,First Owner,155000
2010,80000,Manual,First Owner,300000
2018,16584,Manual,First Owner,300000
2016,38000,Manual,First Owner,385000
2010,51000,Manual,First Owner,221000
2016,38000,Manual,First Owner,381000
2015,35000,Manual,First Owner,250999
2002,120000,Manual,Third Owner,60000
2016,38000,Manual,First Owner,380000
2008,144000,Manual,Third Owner,180000
2017,64000,Manual,First Owner,751000
2015,60000,Automatic,First Owner,1250000
2014,65000,Manual,First Owner,229999
2019,24000,Manual,First Owner,1250000
2014,58000,Manual,Second Owner,782000
2014,58000,Manual,Second Owner,780000
2016,68000,Manual,First Owner,245000
2011,81257,Manual,First Owner,321000
2017,44000,Manual,First Owner,509999
2015,45000,Manual,First Owner,110000
2013,75000,Manual,First Owner,400000
2013,90000,Manual,First Owner,370000
2007,80000,Manual,Second Owner,175000
1998,35000,Automatic,Second Owner,1000000
2013,25000,Manual,Second Owner,92800
2014,90000,Manual,First Owner,291000
2013,25000,Manual,Second Owner,92800
2013,110000,Manual,Third Owner,335000
2013,35000,Manual,First Owner,170000
2019,10000,Manual,First Owner,295000
2019,10000,Manual,First Owner,375000
2012,70000,Manual,Second Owner,215000
2009,110000,Manual,Second Owner,150000
2003,5000,Manual,Second Owner,60000
2006,120000,Manual,Third Owner,52000
2009,90000,Manual,Second Owner,80000
2012,70000,Manual,Second Owner,140000
2008,90000,Manual,Second Owner,120000
2006,120000,Manual,Third Owner,110000
2012,110000,Manual,Fourth & Above Owner,280000
2016,50000,Manual,Second Owner,450000
2018,58000,Manual,First Owner,1150000
2018,15000,Manual,First Owner,650000
2015,60000,Manual,Second Owner,300000
2015,57000,Manual,First Owner,73000
2015,87000,Manual,Third Owner,400000
2017,70000,Manual,First Owner,300000
2012,30000,Automatic,Second Owner,300000
2012,80000,Manual,First Owner,450000
2009,100000,Manual,Second Owner,200000
2019,40000,Manual,First Owner,580000
2017,3917,Manual,First Owner,550000
2007,160000,Manual,Second Owner,190000
2017,35000,Manual,First Owner,450000
2014,70000,Manual,First Owner,220000
2012,69069,Manual,First Owner,310000
2019,13500,Manual,First Owner,650000
2014,59059,Manual,First Owner,300000
2013,70000,Manual,First Owner,200000
2012,39039,Manual,First Owner,285000
2014,33033,Manual,First Owner,335000
2011,55168,Manual,Second Owner,370000
2013,41041,Manual,First Owner,375000
2009,67067,Manual,First Owner,235000
2013,66066,Automatic,First Owner,345000
2013,82082,Manual,First Owner,365000
2014,48000,Manual,First Owner,400000
2015,30000,Manual,First Owner,250000
2012,70070,Automatic,First Owner,465000
2017,10000,Manual,First Owner,300000
2018,25000,Manual,First Owner,655000
2016,30000,Manual,Second Owner,350000
2015,50000,Automatic,First Owner,500000
2015,63063,Automatic,First Owner,465000
2008,70000,Manual,First Owner,263000
2012,90000,Manual,First Owner,250000
1999,90000,Manual,Fourth & Above Owner,60000
2005,90000,Manual,Third Owner,70000
2016,30000,Manual,First Owner,250000
2016,80000,Manual,First Owner,229999
2011,120000,Manual,First Owner,195000
2016,22000,Manual,First Owner,270000
2017,140000,Manual,First Owner,650000
2014,80000,Manual,Second Owner,370000
2016,40000,Manual,First Owner,509999
2011,33000,Manual,First Owner,280000
2010,40000,Manual,First Owner,180000
2018,10500,Manual,First Owner,300000
2013,107000,Manual,First Owner,400000
2010,60000,Manual,Second Owner,210000
2006,120000,Manual,Second Owner,90000
2010,70000,Manual,First Owner,222000
2015,50000,Manual,Second Owner,240000
2013,70000,Manual,Second Owner,450000
2017,6000,Manual,First Owner,650000
2010,78000,Manual,Second Owner,200000
2011,72000,Manual,Third Owner,210000
2011,9528,Manual,First Owner,75000
2011,135200,Manual,First Owner,450000
2011,58000,Manual,Second Owner,220000
2013,78000,Manual,Second Owner,325000
2018,45000,Manual,First Owner,450000
2017,35000,Manual,First Owner,825000
2007,76000,Manual,Third Owner,125000
2015,100000,Manual,Third Owner,434999
2011,99000,Manual,Second Owner,484999
2009,80000,Manual,Third Owner,175000
2006,120000,Manual,Third Owner,220000
2020,1100,Manual,First Owner,1250000
2017,34000,Manual,First Owner,215000
2014,68000,Manual,First Owner,625000
2018,15000,Manual,First Owner,615000
2012,58000,Manual,First Owner,130000
2013,50300,Manual,First Owner,175000
2011,70000,Manual,Second Owner,150000
2011,60000,Manual,Third Owner,195000
2020,90000,Manual,First Owner,550000
2018,40000,Manual,First Owner,1500000
2010,80000,Manual,Second Owner,400000
2019,15000,Manual,First Owner,1350000
2015,45000,Manual,First Owner,217000
2011,130000,Manual,Second Owner,290000
2018,80000,Manual,First Owner,700000
2014,40000,Manual,First Owner,175000
2017,80000,Manual,First Owner,575000
2016,100000,Manual,Second Owner,380000
2013,151624,Manual,Second Owner,350000
2012,160000,Manual,First Owner,450000
2005,110000,Manual,Second Owner,130000
2015,74820,Manual,First Owner,320000
2014,82000,Manual,First Owner,550000
2015,50000,Manual,Second Owner,370000
2010,70000,Manual,Second Owner,114999
2020,1000,Manual,First Owner,1100000
2006,170000,Manual,First Owner,170000
2008,150000,Manual,Third Owner,80000
2019,17000,Manual,First Owner,950000
2014,150000,Manual,First Owner,425000
2015,80000,Manual,First Owner,500000
2005,170000,Manual,Third Owner,70000
2013,120000,Manual,First Owner,349000
2012,90000,Manual,Third Owner,330000
2010,90000,Manual,Third Owner,120000
2013,100000,Manual,Second Owner,430000
2014,90000,Manual,First Owner,390000
2012,129000,Manual,First Owner,225000
2010,186000,Automatic,Second Owner,350000
2009,66778,Manual,First Owner,100000
2014,50000,Manual,First Owner,190000
2014,110000,Manual,Second Owner,315000
2015,60000,Manual,Second Owner,300000
2016,40000,Manual,First Owner,280000
2017,55000,Manual,First Owner,1650000
2015,21000,Manual,Second Owner,295000
2012,66363,Automatic,Second Owner,2050000
2018,11700,Automatic,First Owner,1475000
2017,10000,Automatic,First Owner,1100000
2014,100000,Automatic,Second Owner,4400000
2016,7104,Manual,First Owner,670000
2015,45974,Manual,First Owner,750000
2015,55340,Manual,First Owner,760000
2017,20000,Automatic,Second Owner,850000
2015,61585,Manual,First Owner,390000
2016,39415,Automatic,Second Owner,450000
2014,29654,Manual,First Owner,425000
2016,64672,Manual,First Owner,770000
2015,54634,Automatic,Second Owner,1150000
2015,66521,Manual,First Owner,775000
2019,3000,Automatic,First Owner,720000
2018,23974,Automatic,Second Owner,1725000
2018,10000,Manual,First Owner,539000
2017,50000,Manual,First Owner,420000
2001,70000,Manual,Third Owner,85000
2004,73000,Manual,Fourth & Above Owner,142000
2014,76000,Manual,Second Owner,180000
2014,120000,Manual,Second Owner,400000
2009,170000,Automatic,Third Owner,360000
2003,110000,Manual,Second Owner,85000
2016,63400,Manual,First Owner,350000
2015,25000,Manual,First Owner,380000
2009,80000,Manual,Third Owner,140000
2012,90000,Manual,First Owner,200000
2011,157000,Manual,First Owner,150000
2012,80000,Manual,Second Owner,150000
2006,40000,Manual,Second Owner,90000
2007,100000,Manual,Second Owner,300000
2017,50000,Manual,First Owner,280000
2011,40000,Manual,First Owner,200000
2009,38500,Manual,Second Owner,110000
2008,103921,Manual,Second Owner,140000
2020,10000,Manual,First Owner,1050000
2018,14825,Manual,First Owner,1150000
2016,43377,Manual,First Owner,910000
2010,102307,Manual,First Owner,160000
2004,79000,Manual,Second Owner,105000
2014,135000,Automatic,Third Owner,1200000
2018,10500,Manual,First Owner,300000
2004,90000,Manual,Fourth & Above Owner,70000
2012,110000,Manual,First Owner,160000
2012,50000,Manual,First Owner,160000
2013,80000,Manual,First Owner,225000
2018,19571,Manual,First Owner,790000
2002,100000,Manual,First Owner,145000
2018,29600,Manual,First Owner,1200000
2018,20000,Manual,First Owner,930000
2016,30000,Manual,First Owner,210000
2008,154000,Manual,Third Owner,110000
2011,70000,Manual,First Owner,175000
2018,15000,Automatic,First Owner,950000
2017,40000,Manual,First Owner,650000
2019,51000,Manual,First Owner,550000
2008,120000,Manual,Second Owner,85000
2019,50000,Manual,First Owner,340000
2017,13500,Manual,First Owner,825000
2016,35000,Manual,First Owner,509999
2013,1000,Manual,Second Owner,450000
2018,10000,Automatic,First Owner,3800000
2013,86000,Automatic,First Owner,1580000
2019,30000,Automatic,First Owner,4950000
2016,52600,Manual,First Owner,535000
2012,110000,Manual,Second Owner,225000
2017,19890,Automatic,First Owner,550000
2016,7104,Manual,First Owner,670000
2015,11918,Manual,First Owner,625000
